title,published_date,updated_published_date,author,content,location,crime,news_url,img_url,latitude,longitude,crime_numeric
Family questions PNP report saying Christine Dacera died of natural causes,1/28/2021 14:34,,"NICOLE-ANNE C. LAGRIMAS, GMA News",family flight attendant national police medico legal report saying natural lawyer family brick told super report prosecutor office evidence medico legal officer police lieutenant colonel report natural death ruptured aneurysm aorta artery human body supposedly triggered increase blood pressure homicide said personally body merely said family permission late definitely body autopsy said radio interview family doctor homicide lawyer fiscal know crime homicide added medical accepted normal heart hypertensive contrary statement chronic hypertension believe report given importance autopsy body report obviously opinion said said wait thorough hour long second autopsy national bureau investigation year celebration family sexually complaint rape homicide night hand harm instead took care heavily drunk final prosecutor office investigating criminal complaint report connection investigation work separate probe ordered justice secretary said initial police investigation thorough,Makati City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/773650/family-questions-pnp-report-saying-istine-dacera-died-of-natural-causes/story/,https://images.gmanews.tv/webpics/2021/01/unnamed_(2)_2021_01_15_12_25_30_2.jpg,,,1
Ex-Taguig councilor shot dead â€”police,1/28/2021 16:15,,"ANNA FELICIA BAJO, GMA News",councilor barangay city police said information city police chief police colonel victim jordan councilor second district based initial probe shot victim times street morning able escape police able recover caliber spent crime scene jordan city police found suspected ecstasy possession allegedly stolen hotel goods follow operation ongoing identify arrest city police create special investigation team look incident,"Ibayo Tipas, Taguig City",Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/773675/ex-taguig-councilor-shot-dead-police/story/,https://images.gmanews.tv/webpics/2017/09/Taguig_2017_09_07_16_56_28.jpg,,,4
PNP crime lab had 'sufficient basis' for tagging Dacera death as natural â€”respondentsâ€™ lawyer,1/28/2021 16:16,,"NICOLE-ANNE C. LAGRIMAS, GMA News",national police crime laboratory sufficient basis natural lawyer accused killing said family lawyer brick said medico legal report homicide flight attendant death said report conclusion opinion unfair competent crime laboratory office mike lawyer said response release report basis basis clear visceral examination basis report said press conference said medico legal report based autopsy second newly based histopathological examination sufficient basis mere opinion scientific basically said medico legal report prosecutor ruptured aneurysm aorta artery human body triggered increase blood pressure report undiagnosed hypertension statement flight attendant medical accepted normal heart year celebration believing sexually family rape homicide complaint complaint prosecutor national bureau investigation separate probe included second autopsy remains public,Makati City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/773676/pnp-crime-lab-had-sufficient-basis-for-tagging-dacera-death-as-natural-respondents-lawyer/story/,https://images.gmanews.tv/webpics/2021/01/dacera_2021_01_27_14_42_10.png,,,1
Willie Revillame explains fans fell victim to fake news resulting in 'birthday gathering',1/28/2021 18:30,,"ANNA FELICIA BAJO, JANNIELYN ANN BIGTAS, GMA News",episode birthday gathering tower night traveled city piece fake news given away birthday spread fake news difficult follow said according appealing early tower normally birthday come people sleeping outside tower audience entrance people said host said police avoid chaos possibility course tolerate right wishing happy birthday follow said patience understanding know follow social added said understood greet meet given know want greet want able police stopped happen understanding traveled tower reasoning travel right host city mayor rest area nearly sent safety police think barangay barangay course police right said press conference admitted host guidance anticipation gathering said worried practice visit outside tower birthday amid covid pandemic yesterday crowd outside tower birthday willie prior yesterday event tell apprehensive custom birthday people come visit assistance indigent society worried said city department public order safety local police ensure crowd physical gathering mayor said waiting report concerned incident order verify health hear said decide department public order safety city police district said told today city police district send contingent police story furnished incident report want know crowd control added said office secretary local government list gathering said city government urge tested covid soon list ready encourage said live episode turned emotional loyal pandemic come worry promise pandemic government city maybe manila maybe maybe maybe open offering celebration pray going country world said sorry apologize came people worry nice gift work stop making fake news added turned wish pandemic like,"Diliman, Quezon City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/773654/willie-revillame-asked-qc-lgu-for-help-in-anticipation-of-birthday-gathering-says-joy-belmonte/story/,https://images.gmanews.tv/webpics/2021/01/Screen_Shot_2021-01-28_at_6_2021_01_28_18_26_35.png,14.6361294,121.03358414509097,1
Scammer who took P68K worth of cellphone nabbed in Mandaluyong,1/28/2021 22:03,,,police accomplice expensive taking paying according report victim said worth house construction came gate pointed neighboring saying house house victim said said look brother paying suspect return according victim brother said worker said going brother said said ahead wait victim said victim said area suspect worker said know house depressed gone taken said scam seller police seller expensive police chief police lieutenant colonel said page second page buyer ordered thought added suspect said sell expensive lower price immediately times food said come money sell tolerant accomplice said advised know sure person real account real number advise delivery check belong said,Mandaluyong City,Cybercrime,https://www.gmanetwork.com/news/topstories/metro/773734/scammer-who-took-p68k-worth-of-cellphone-nabbed-in-mandaluyong/story/,https://images.gmanews.tv/webpics/2021/01/cellphone_scammer_2021_01_28_21_52_00.JPG,,,6
Cop accused of extortion arrested in ParaÃ±aque City â€”PNP,1/29/2021 8:15,,"ANNA FELICIA BAJO, GMA News",personnel national police highway patrol group entrapment operation city allegedly extortion accused police staff sergeant assigned south expressway office according integrity enforcement group chief police colonel allegedly complainant settling involvement vehicular accident skyway northbound barangay martin received marked money complainant entrapment operation said caliber cellular phone police said custody proper documentation appropriate criminal administrative,Paranaque City,Financial or White Collar Crime,https://www.gmanetwork.com/news/topstories/metro/773767/cop-accused-for-extortion-arrested-in-paranaque-city-pnp/story/,https://images.gmanews.tv/v3/webpics/v3/2014/09/2014_09_12_14_26_15.jpg,,,5
"Dacera family not 'prejudging' Christine's death, spokesperson says",1/29/2021 13:38,,"ANNA FELICIA BAJO, GMA News",family case flight attendant found unresponsive hotel room bathtub year later declared dead family said press conference lawyer brick said family crime evidence case saying guilty saying evidence good family believe crime said time incapable given belief family saying belief family added said depict subjected form violence family flight attendant sexually prior death despite release medico legal report natural report police lieutenant colonel medico legal officer ruptured aortic aneurysm triggered increase blood pressure justice mother said daughter death justice given year celebration tell flight attendant death justice responsible painful tell truth said dead knocking heart conscience tell truth lost child praying daughter feel guilty added justice angry need justice stop want truth said finally find peace longing latest medico legal report said want,Makati City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/773793/dacera-family-not-prejudging-istine-s-death-spokesperson-says/story/,https://images.gmanews.tv/webpics/2021/01/dacera_2021_01_29_11_09_12.jpg,,,1
"Manila cops seize P17-M suspected shabu, rescue minor used as 'runner'",1/29/2021 14:05,,"ANNA FELICIA BAJO, GMA News",suspected million bust operation paco manila evening said police said operation manila police district station drug enforcement unit arrest drug minor runner operation stop protect criminal exploitation drug stop difficult enemy deal chief police general said currently face bailable drug minor turned concerned social welfare office,"Paco, Manila City",Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/773798/manila-cops-seize-p17-m-suspected-shabu-rescue-minor-used-as-runner/story/,https://www8.gmanews.tv/webpics/v3/2012/11/thumb-pinoyabroad-behindbars3.jpg,,,4
Valenzuela doctor denies faking COVID-19 test results,1/30/2021 22:22,,,doctor accused covid test saying complaint meant harass follow complainant chief executive officer best care diagnostic center accused alma medical director hospital truth alma said merely meant harass turned said report weekend said include land cruiser order medical credit chief medical technologist best care case best care anti patient template said real harm said mayor satisfied explanation complainant said whistle blower clinic test positive treatment different mixed said public safety issue definitely shutting right added city suspended business permit,Bulacan,Financial or White Collar Crime,https://www.gmanetwork.com/news/topstories/metro/773935/valenzuela-doctor-denies-faking-covid-19-test-results/story/,https://images.gmanews.tv/webpics/2021/01/Untitled_2021_01_30_22_15_00.jpg,,,5
12-year-old electrocuted by power line sustains second-degree burns,1/31/2021 19:36,,,year child sustained second degree hanging footbridge city week barangay incident said child walking roof footbridge explosion walking roof head hanging wire suddenly explosion fell lost consciousness boom strong said report weekend victim reportedly initially tried leave stretcher choice suddenly went said brother child seeking financial help medical bureau fire protection said child body sustained initial investigation usually footbridge metropolitan manila development authority body second degree special rescue unit said report like turning footbridge playground said mean added construction company charge footbridge reportedly provided victim family assistance manila electric said going like responsible find assist individual said,"Sangandaan, Caloocan City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/774003/12-year-old-electrocuted-by-power-line-sustains-second-degree-burns/story/,https://images.gmanews.tv/webpics/2021/01/Untitled_2021_01_31_19_23_58.jpg,,,1
Child shocked by live wire on footbridge says he was running from threat,02/01/2021 22:01,,,year received electric shock hanging foot bridge city week said running stab according report said choice roof footbridge trying hurt stab balance hold wire fall know live wire said sustained second degree body barangay incident said child walking roof footbridge explosion walking roof head hanging wire suddenly exploded fell lost boom strong said report weekend victim reportedly initially tried leave stretcher construction company charge footbridge reportedly provided victim family assistance manila electric city government city provide assistance victim family angelica,"Sangandaan, Caloocan City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/774159/child-shocked-by-live-wire-on-footbridge-said-he-was-running-from-threat/story/,https://images.gmanews.tv/webpics/2021/02/boy_shocked_-blur_2021_02_01_21_49_26.jpg,,,1
NBI 'not rushing' report on Dacera case â€”Guevarra,02/03/2021 12:35,,"NICOLE-ANNE C. LAGRIMAS, GMA News",justice secretary said national bureau investigation rushing report case said bureau ordered investigate flight attendant death bases covered sure able submit report prosecutor preliminary investigation case said message said transmit report prosecutor office soon bureau said running deputy director said ordered investigate death month finding initial police probe thorough case prosecutor separately investigating police complaint rape homicide prosecutor hearing criminal complaint process determine file court week police prosecutor medico legal report national police crime laboratory ruptured aneurysm aorta triggered increase blood pressure report homicide year death family foul play report family said week weight autopsy remains,Makati City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/774404/nbi-not-rushing-report-on-dacera-case-guevarra/story/,https://images.gmanews.tv/webpics/2019/12/menardo_guevarra_2019_12_09_21_19_23.jpg,,,1
Drilon accuser faces arrest anew for online libel,02/04/2021 0:50,,,regional trial court found consultant linked minority leader franklin corruption guilty anew libel defamatory posted social media page decision court provincial administrator jail violation republic prevention series senate president corruption construction convention center city court warrant arrest facing arrest libel conviction year supreme court finality decision found guilty libel imprisonment pause recalculate complaint relentlessly went publicly corruption private complainant clear indication intent malign court said court mindful intent public discharge official expression opinion based established reasonably added court decision decision ruling validate fact complete said statement senator lamented respect rule despite conviction stop vitriolic false avoid serving jail term said face serve sentence added,Pasay City,Financial or White Collar Crime,https://www.gmanetwork.com/news/topstories/metro/774516/drilon-accuser-faces-arrest-anew-for-online-libel/story/,https://images.gmanews.tv/v3/webpics/v3/2014/11/2014_11_13_11_07_11.jpg,,,5
"Mandaluyong court junks gun possession raps vs. Lady Ann Salem, co-accused",02/05/2021 19:36,02/06/2021 0:30,,regional trial court illegal possession journalist lady accused manila today editor series reportedly loose page ruling judge probable cause issue search residence accused crime told numerous foregoing given faith credence said considering search violation constitution court condominium unit inadmissible evidence poisonous tree added consequently instant stand said police simultaneously carried loose criminal said caliber caliber caliber ammunition residence national union people said decision model dealing supposedly pleasant deserved surprise false journalist lady labor organizer trial court president said commend trial court judge admirable independence fortitude decision inimitable template emulate heed added roll stop serial brazen persecute immediate logical consequence ruling walk said,Mandaluyong City,Property Crime,https://www.gmanetwork.com/news/topstories/metro/774782/mandaluyong-court-junks-gun-possession-raps-vs-lady-ann-salem-co-accused/story/,https://images.gmanews.tv/webpics/2020/12/lady_ann_salem_2020_12_10_16_31_01.JPG,,,2
"2 missing teenagers in Manila, found dead possibly tortured",02/09/2021 0:42,,,missing manila found dead according report according father lifeless body cormel found floating near stone wrapped tape cormel father permission play basketball according report remains tortured,"Tondo, Manila City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/775138/2-missing-teenagers-in-manila-found-dead-possibly-tortured/story/,https://images.gmanews.tv/webpics/2021/02/Screen_Shot_2021-02-09_at_12_2021_02_09_00_33_13.png,,,1
Rider killed after being hit by newbie driver in QC,02/08/2021 20:09,,,left home afternoon aboard motorcycle short trip family food returned driver learning navigate vehicle sora avenue city according report longer conscious unconscious longer hear went straight hospital medic sora rescue said pronounced dead arrival hospital police lieutenant traffic sector commander driver currently facing reckless imprudence resulting homicide damage property according year driver holder professional license admitted police time drive long distance good driving professional driver license time long time said barangay banjo pilar said footage white stopped intersection speeding away seen video driver skilled notice little time running fast pilar said pilar added write land transportation office inquire license know drive widow justice death husband left,"Tandang Sora, Quezon City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/775108/rider-killed-after-being-hit-by-newbie-driver-in-qc/story/,https://images.gmanews.tv/webpics/2021/02/newbie_driver_2021_02_08_20_06_18.JPG,14.6818637,121.0322006,1
"63 QC restobar employees, guests cited for violating curfew, health protocols",02/09/2021 7:50,,,city given quarantine curfew health dawn raid city task force mother avenue found operating past curfew according report news balita sitting close social found wearing face serving unlimited liquor social unlimited serving alcohol beer alcohol general community quarantine unlimited task force disciplinary action officer said forbidden karaoke band especially mask social clock night observe said people added worse establishment found mayor permit local government received information concerned week party curfew past given violation said went according employee grand opening band strictly enforced health said close finished band know stay away usually employee said city covid pandemic,"Mother Ignacia Avenue, Quezon City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/775156/63-qc-restobar-employees-guests-cited-for-violating-curfew-health-protocols/story/,https://images.gmanews.tv/webpics/2021/02/restobar_2021_02_09_07_09_32.jpg,14.631094,121.0208674,1
"CHR to probe deaths, possible torture of 2 teenagers in Manila",02/09/2021 13:53,,,commission human said team investigate case teenage manila lifeless found bearing torture stress right cruel inhumane degrading treatment punishment vitiate free dignity individual said statement incident quick response team investigate ascertain case added according report missing manila father found body wrapped tape floating near remains suggest tortured separate report balita said face body pick balita report said seen alive,"Tondo, Manila City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/775208/to-probe-deaths-possible-torture-of-2-teenagers-in-manila/story/,https://images.gmanews.tv/webpics/2020/11/commhr_2020_11_06_00_18_12.jpg,,,1
"ICTSI union leader dead, niece injured in Tondo shooting incident â€”police",02/09/2021 12:52,,"JOVILAND RITA, GMA News",labor union leader international container terminal incorporated shot house fiesta manila manila police district said based police report year vehicle unidentified aboard motorcycle motorcycle drew firearm shot times niece attack immediately fled rushed mary hospital pronounced dead niece transferred general hospital treatment sustained multiple gunshot wounds different body niece gunshot wounds body shooting incident police said received death unknown connection position union,"Tondo, Manila City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/775194/ictsi-union-leader-dead-niece-injured-in-tondo-shooting-incident-police/story/,https://images.gmanews.tv/v3/webpics/v3/2014/11/2014_11_18_16_20_09.jpg,,,1
"Their killers are not humans, say families of slain teenage boys",02/09/2021 21:16,,,year found brutally missing days said devil according report carl found floating water area lived stuffed body arms wrapped tape autopsy result stab found slashed family said face drawn body parent child play like blackboard bullet chest slash neck father said demon added grandmother humanity think accept shot terrible person needle head people said family said permission play basketball father leaving love come maybe able come talk like pray home nervous know alright careful father said suspect mind manila police district respective cursed colleague pain head second like group ariel barangay captain said rude good flip barangay caught times curse rufus barangay said police said investigation ongoing follow police stop resolve incident police lieutenant commander precinct said family said murder wrong wrongdoing grandson guilty hope like going grandmother said justice demon lord know forgive father said,Manila City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/775299/their-killers-are-not-humans-say-families-of-slain-teenage-boys/story/,https://images.gmanews.tv/webpics/2021/02/father_of_Buenaflor_2021_02_09_21_16_18.JPG,,,1
NBI seizes drugs in kitchen utensil sets sold online,02/09/2021 21:16,,,undetermined hidden dining utensil sold district office condominium said barangay found according report discovered sold inspection spotted marijuana inserted gold plated gold plated suitcase marijuana unit floor establishment according inserted secretly seller operation continue follow operation drug gang selling cover,Metro Manila,Statutory Crime,https://www.gmanetwork.com/news/topstories/metro/775296/nbi-seizes-drugs-in-kitchen-utensil-sets-sold-online/story/,https://images.gmanews.tv/webpics/2021/02/Untitled_2021_02_09_20_56_04.jpg,,,4
Police looking at gang war behind brutal slay of 2 Tondo teens,02/10/2021 10:29,,"JOVILAND RITA, GMA News",considering gang brutal killing year manila police said news police captain henry head manila police district homicide division said found tattoo body associated notorious gang consider gang said like member city jail looking misdemeanor record adjacent police added carl found floating water area lived seen night according possibly tortured considering wounds found chief police brigadier general said police whereabouts disappearance yesterday established time seen alive told news text message said hard location apparently said said different time taken time different different times close proximity said found knew totally close added said manner similar said found place possibly catch basin manila trash usually piles commission human said team conduct investigation killing,"Tondo, Manila City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/775347/police-looking-at-gang-war-behind-brutal-slay-of-2-tondo-teens/story/,https://images.gmanews.tv/webpics/2021/02/reeltime2_2021_02_09_23_24_19.jpg,,,1
QC warns vs. fixers selling appointment slots for business permit processing,02/10/2021 16:28,,,city government public patronize offering reserve sell appointment business mayor warning city business department appointment appointment system business permit free charge transact promise process easier system easy said statement interfere provide efficient option public added said investigation revealed group secure appointment chief margarita said department improve interface navigation simpler security feature help detect multiple single address system march system allow address time user said address date appointment thrice address blocked said business claim business able personal appointment document instead advise book courier service choice office definitely cost paying appointment said added free delivery issuance temporary electronic copy business permit available soon angelica,Quezon City,Financial or White Collar Crime,https://www.gmanetwork.com/news/topstories/metro/775421/qc-warns-vs-fixers-selling-appointment-slots-for-business-permit-processing/story/,https://images.gmanews.tv/webpics/2016/01/QC-Hall-2_2016_01_10_18_52_04.jpg,14.6508,121.04821,5
40-year-old tank blamed for deadly Navotas ammonia leak,02/10/2021 21:48,,,bureau fire protection pointed year tank cause ammonia leak city week according report post blast cause leak plant upper nurse tank pressure relief valve need identify problem pressure relief valve fire chief inspector chief fire arson investigating division said according statement witness tank tank exposed outside exposed added possibility welding works tank leading heat increase pressure ammonia inside tank swab tank contents find purely ammonia place evidence metallurgic examination determine wear tear metal final investigation week,Navotas City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/775482/40-year-old-tank-blamed-for-deadly-navotas-ammonia-leak/story/,https://images.gmanews.tv/webpics/2021/02/ammonia_tank_2021_02_10_21_48_34.JPG,,,1
QC to file complaint vs. UK variant patientâ€™s manning agency over alleged protocol breaches,02/11/2021 22:48,,"JOVILAND RITA, GMA News",local government city file complaint manning agency covid patient tested positive variant health press conference city mayor said file complaint manning agency week covid case light breach city government decided file manning agency said according city government patient underwent testing positive result quarantine hotel manila instead barangay health emergency response team hospital patient hotel manning agency manning agency brought patient apartment city grab ride breach protocol clearly supposed release positive entity barangay health emergency response matter said report manning agency grab vehicle brought city violation city barangay notified added received patient positive result variant agency informed city government national bureau investigation registered address looking proved variant department health find said patient brought hope facility early morning expressed concern possibility patient virus variant transmissible actually given variant imagine kind destruction kind effect said local government looking filing year patient area patient brought special concern extensive contact tracing vicinity area brought conducive isolation quarantine epidemiology surveillance unit head said barangay know quarantine added said contact tracing easy patient tested went long people exposed said mandatory notifiable health public health concern said punishable covid case,Quezon City,Financial or White Collar Crime,https://www.gmanetwork.com/news/topstories/metro/775583/qc-to-file-complaint-vs-uk-variant-patient-s-manning-agency-over-alleged-protocol-breaches/story/,https://images.gmanews.tv/webpics/2020/03/Joy_Belmonte_2020_03_18_20_57_04.PNG,14.6508,121.04821,5
"Cops nab 2 men on most wanted lists in Calabarzon, Iligan",02/12/2021 14:02,,"JAMIL SANTOS, GMA News",included list region city statement national police chief police said suspect occidental sixth regional police subject warrant arrest regional trial court branch murder according initial investigation fled occidental fake zander worked operator river quarry occidental violation comprehensive dangerous inspection found suspect fraudulent provincial intelligence team occidental operational investigation leading identification custody provincial jail proper documentation disposition alias operation poblacion person city police office subject arrest warrant regional trial court judicial region branch city crime murder suspect unit pistol loaded ammunition unit converted rifle super unit unit assorted suspect contract killing said involved hire brought municipal police station illegal possession ammunition,Iligan City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/775707/cops-nab-2-men-on-most-wanted-lists-in-calabarzon-iligan/story/,https://www8.gmanews.tv/webpics/v3/2012/11/thumb-pinoyabroad-behindbars3.jpg,,,1
"100 QC bar patrons fined P5,000 over curfew, health violations",2/13/2021 17:09,,,city accosted found carousing past midnight violation covid health according news live report task force disciplinary patron curfew health protocol management found trouble entertaining past curfew operating business permit,Quezon City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/775837/100-qc-bar-patrons-fined-p5-000-over-curfew-health-violations/story/,https://images.gmanews.tv/webpics/2021/02/Untitled_2021_02_13_17_05_14.jpg,14.6508,121.04821,1
"Suspect in carnapping, murder cases in Eastern Visayas nabbed in Taguig",2/13/2021 14:45,,,city suspected involved murder eastern suspect alias city according national police chief police general based report national capital region police office chief police major general regional special group regional intelligence division regional intelligence unit regional intelligence division regional highway patrol unit said suspect region list judge regional trial court branch city previously warrant arrest suspect bail police regional office suspect seven,Taguig City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/775823/suspect-in-carnapping-murder-cases-in-eastern-visayas-nabbed-in-taguig/story/,https://images.gmanews.tv/v3/webpics/v3/2014/09/2014_09_12_14_26_15.jpg,,,1
Guevarra: PNP will share evidence in Christine Dacera case with NBI,2/14/2021 12:24,,,justice secretary said national police share evidence case share evidence mobile complete finalize report soon said message sent said evidence able finish probe week submit final report department justice informed certain evidence police position wind investigation week submit report consideration investigating prosecutor justice secretary said flight attendant checked city garden hotel city celebrate year found noon police initially rape homicide inquest city prosecutor office city prosecutor office later ordered release saying evidence initially police insufficient mother daughter medico legal report natural,Makati City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/775883/guevarra-pnp-will-share-evidence-in-istine-dacera-case-with-nbi/story/,https://images.gmanews.tv/webpics/2021/01/christinedacera_2021_01_06_13_36_44.jpg,,,1
2 suspected Akyat-Bahay gang members nabbed for allegedly stealing religious antiques,2/14/2021 9:47,,,suspected bahay gang allegedly stealing religious city resty mark barangay city national police chief police general said investigation house barangay sliding door left open said crucifix virgin mary image glass case bell image brass wood painting stolen collection burglary police station driving house carrying green crucifix sticking immediately went police station matter conduct arrest,Paranaque City,Property Crime,https://www.gmanetwork.com/news/topstories/metro/775869/2-suspected-akyat-bahay-gang-members-nabbed-for-allegedly-stealing-religious-antiques/story/,https://images.gmanews.tv/webpics/2021/02/antiquereligiousitems_2021_02_14_09_29_30.jpg,,,2
Taxi driver sues QCPD deputy who ordered his arrest without warrant,2/16/2021 18:31,,,taxi driver complaint officer city police district cursed ordered arrest despite lack warrant taxi driver complaint people enforcement board police lieutenant colonel ariel deputy director grave misconduct conduct unbecoming police officer oppression complaint said police officer taxi transferred house said occupy usual parking space sand covering unfinished road repair accept explanation instead cursed leading alternation later parking area ordered police armed arrest warrant undergo medical examination taxi driver lodge complaint pleb gave seven days respond complaint resolve case swift fair manner assure justice prevail pleb executive officer said,Quezon City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/776205/taxi-driver-sues-qcpd-deputy-who-ordered-his-arrest-without-warrant/story/,https://images.gmanews.tv/webpics/2021/02/QCPD_logo_2021_02_16_18_30_03.JPG,14.6508,121.04821,1
"Makati Prosecutorâ€™s Office wrapped up hearings on Christine Dacera case, lawyer says",2/17/2021 15:11,,,prosecutor office ended preliminary investigation criminal complaint death flight attendant month according lawyer mike legal counsel said complaint rape homicide resolution determine based evidence press court said rejoinder hearing national bureau investigation parallel probe year celebration family sexually complaint night read death harm instead took care heavily drunk final medico legal report national police crime laboratory homicide cause death instead report said ruptured aortic aneurysm triggered increase blood pressure,Makati City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/776330/makati-prosecutor-s-office-wrapped-up-hearings-on-istine-dacera-case-lawyer-says/story/,https://images.gmanews.tv/webpics/2021/01/unnamed_(2)_2021_01_15_12_25_30_2.jpg,,,1
Muntinlupa execs offer P200K reward for information on traffic enforcerâ€™s killer,2/17/2021 16:40,,,city mayor congressman reward pinpoint whereabouts person city traffic post said supervisor traffic management bureau motorcycle unit duty night barangay shot unidentified gunman strongly condemn senseless killing supervisor traffic condemned killing expressed family sympathize family ease pain assure stop justice said said ordered investigation matter warning took life attempt commit crime room violence said hesitate force punish peace order community information whereabouts suspect contact national police angelica,Muntinlupa City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/776348/muntinlupa-execs-offer-p200k-reward-for-information-on-traffic-enforcer-s-killer/story/,https://images.gmanews.tv/webpics/2021/02/daniel_manalo-muntilupa_traffic_enforcer_2021_02_17_16_39_25.JPG,,,1
Suspect in killing of 4 Negros cops dies in Mandaluyong shootout,2/18/2021 20:41,,,prime suspect murder police oriental encounter city according national police suspect alias team arresting general bakal chief police general said suspect rebel group northern added transferred regional strike force group regular member according group regional mobile force battalion information gathering barangay june brought personal pistol slain policeman ammo ammo suspect,Mandaluyong City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/776556/suspect-in-killing-of-4-negros-cops-dies-in-mandaluyong-shootout/story/,https://images.gmanews.tv/webpics/2021/01/debold_sinas_2021_01_05_22_13_52.jpg,,,1
Car theft gang leader Raymond Dominguez died due to cardiac arrest â€”BuCor,2/21/2021 9:34,,,theft gang leader cardiac arrest bureau said according news report report said cause death came national bureau investigation autopsy body found lifeless cell prison city natural wait medico legal report said sign foul play noted justice secretary instructed submit report matter immediately widow believe husband natural said husband said night found dead prison death judge found suspected leader gang guilty faced high profile murder dealer,Metro Manila,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/776785/car-theft-gang-leader-raymond-dominguez-died-due-to-cardiac-arrest-bucor/story/,https://images.gmanews.tv/webpics/2021/02/reeltime2_2021_02_19_16_10_26.jpg,,,1
"Man denies connection to kidnap-for-ransom group, PNP-AKG withdraws case",2/22/2021 23:11,,,tagged member notorious kidnap ransom group involvement appeal national police anti group according report city police prove member kidnap ransom group wrongfully accused crime removed order battle court case related case person unidentified individual allegedly arrest shot serving arrest warrant chief police general allegedly member notorious kidnap ransom group subject arrest ransom violation special protection child abuse said group group involved illegal robbery hold national capital region nearby group went viral footage fake raid barangay city people said angelica,Taguig City,Violent Crime,https://www.gmanetwork.com/news/topstories/metro/776983/man-denies-connection-to-kidnap-for-ransom-group-pnp-akg-withdraws-case/story/,https://images.gmanews.tv/webpics/2021/02/Screen_Shot_2021-02-22_at_10_2021_02_22_22_58_17.png,,,1
QC court orders 38 Kadamay members to pay P200 each for trespassing,2/23/2021 16:22,,"VIRGIL LOPEZ, GMA News",city court ordered urban poor group fine found guilty private property according decision city metropolitan trial court branch judge offense trespass estate street barangay sora returned property city government court impose jail term days fine offense judge chose accused driven self preservation court ruling said system criminal true ways constitutionalism milder form responsibility nature offense penalty wrongdoer added court account death previously president housing uniformed personnel,"Tandang Sora, Quezon City",Property Crime,https://www.gmanetwork.com/news/topstories/metro/777082/qc-court-orders-38-kadamay-members-to-pay-p200-each-for-trespassing/story/,https://images.gmanews.tv/webpics/2016/04/ZZZ_042616_mmanila_2016_04_26_15_43_09.jpg,14.6818637,121.0322006,2
"UP admin assistant arrested, released â€”PNP",2/24/2021 9:02,,"JOVILAND RITA, GMA News",administrative assistant university allegedly engaging illegal game inside campus later found person innocent information criminal investigation detection group national police police brigadier general said employee based concerned citizen case resolved following action taken police complaint concerned citizen illegal game taking place campus person subjected arrest told news text message evening found later barangay person allegedly engaged illegal video illegal game arrest amid ongoing department national defense possible reinstatement accord entry state inside prior school ended pact university recruitment spot communist rebel allow recruitment campus community concerned termination said affect academic freedom university threat militarization college social philosophy student publication employee based report barangay campus said spot report incident arrest personnel barangay operation reportedly arrest excessive force police harshly pointed comment report,,Morality Crime,https://www.gmanetwork.com/news/topstories/metro/777172/up-admin-assistant-arrested-released-pnp/story/,https://images.gmanews.tv/webpics/2017/06/up_oblation_2017_06_19_19_42_21.jpg,,,3
Shootout stops traffic near Commonwealth Avenue mall,2/24/2021 19:22,2/24/2021 19:43,,traffic near commonwealth avenue temporarily stopped early night near mall said city police district said armed encounter ongoing drug enforcement agency scene director general chief police brigadier general reportedly site manila development authority said traffic east bound road commonwealth avenue temporarily stopped access mall safe inside priority right ensure safety public mall management said statement management closely added,"Commonwealth Avenue, Quezon City",Violent Crime,https://www.gmanetwork.com/news/topstories/metro/777285/shootout-stops-traffic-near-commonwealth-avenue-mall/story/,https://images.gmanews.tv/webpics/2021/02/shooting_incident_2021_02_24_19_18_56.jpg,14.6534655,121.0529355,1
